"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
81340,"1301006",1,"Normal","13010060109",,0,"30,57","832032,2816","1185544,2175","Estación Robledo","344,160467341516","13"
81352,"1301006",1,"Posesion Demolida*","13010060014",,0,"19,6","832028,2919","1185568,6193","Estación Robledo","340,717171763311","13"
83383,"1301006",1,"Lote","13010060021",,0,"29,07","832042,8054","1185580,9803","Estación Robledo","323,570265837073","13"
87513,"1301006",1,"Normal","13010060126",,0,"18,45","832010,6005","1185607,2546","Estación Robledo","350,173973834212","13"
92366,"1301006",1,"Lote Restringido*","13010060018",,0,"38,6","832026,5723","1185572,9703","Estación Robledo","341,26565810875","13"
92391,"1301006",1,"Normal","13010060108",,0,"31,81","832031,8919","1185551,1003","Estación Robledo","342,312380417799","13"
92392,"1301006",1,"Normal","13010060115",,0,"21,58","832036,6323","1185532,6448","Estación Robledo","344,112245150462","13"
92393,"1301006",1,"Posesion Demolida*","13010060146",,0,"52,95","832043,3476","1185564,6403","Estación Robledo","327,327587451755","13"
94826,"1301006",1,"Normal","13010060011",,0,"45,97","832025,2365","1185560,7703","Estación Robledo","345,793211036182","13"
94834,"1301006",1,"Lote","13010060041",,0,"22,54","832007,8914","1185592,5851","Estación Robledo","355,256534723765","13"
98054,"1301002",1,"Lote","13010020001",,0,"57,39","832082,2319","1185541,8061","Estación Robledo","298,4148159294","13"
176152,"1301049",1,"Lote","13010490001",,,"1649,91","832046,062","1185504,3421","Estación Robledo","345,060074999801","13"
265302,"1301002",1,"Lote","13010020007",,0,"90,14","832089,1275","1185547,0345","Estación Robledo","290,031610539395","13"
